movie_name,release_year,genre
Deewana,1992,Romance
Baazigar,1993,Thriller
Darr,1993,Thriller
Kabhi Haan Kabhi Naa,1994,Romance
Dilwale Dulhania Le Jayenge,1995,Romance
Chaahat,1996,Romance
Dil To Pagal Hai,1997,Romance
Duplicate,1998,Comedy
Kuch Kuch Hota Hai,1998,Romance
Baadshah,1999,Comedy
Mohabbatein,2000,Romance
Kabhi Khushi Kabhie Gham,2001,Drama
Devdas,2002,Drama
Chalte Chalte,2003,Romance
Kal Ho Naa Ho,2003,Drama
Swades,2004,Drama
Veer-Zaara,2004,Romance
Kabhi Alvida Naa Kehna,2006,Drama
Don,2006,Action
Om Shanti Om,2007,Romance
Chak De India,2007,Sports
Rab Ne Bana Di Jodi,2008,Romance
My Name is Khan,2010,Drama
Ra.One,2011,Sci-Fi
Don 2,2011,Action
Chennai Express,2013,Comedy
Happy New Year,2014,Comedy
Dilwale,2015,Action
Raees,2017,Crime
Zero,2018,Drama
Pathaan,2023,Action
Jawan,2023,Action
Dunki,2023,Drama
